timestamp,t,drone_id,experiment_id,pattern,x,y,z,vx,vy,vz,roll,pitch,yaw,ax,ay,az,gx,gy,gz,mx,my,mz,rpm1,rpm2,rpm3,rpm4,battery
1782572008.38363,74.51153063774109,drone_1,,hover,,,,,,,,,,0.232,-1.007,-0.069,-0.07,-0.038,0.501,0.0,0.0,0.0,125,125,125,125,7.547
1782572008.8933673,75.02126789093018,drone_1,,hover,,,,,,,,,,-0.02,-0.961,-0.053,0.547,0.273,0.431,0.0,0.0,0.0,125,125,125,125,7.553
1782572009.6148093,75.74270987510681,drone_1,,hover,,,,,,,,,,-0.107,-0.99,0.009,-0.031,0.196,-0.015,0.0,0.0,0.0,125,125,125,125,7.566
1782572010.0597713,76.18767189979553,drone_1,,hover,,,,,,,,,,-0.046,-0.999,-0.025,0.617,0.3,0.284,0.0,0.0,0.0,125,125,125,125,7.569
1782572010.535505,76.66340565681458,drone_1,,hover,,,,,,,,,,-0.107,-0.899,0.059,-1.016,0.052,0.068,0.0,0.0,0.0,125,125,125,125,7.58
1782572010.817396,76.9452965259552,drone_1,,hover,,,,,,,,,,-0.085,-1.159,0.077,1.249,0.594,0.162,0.0,0.0,0.0,125,125,125,125,7.579
1782572011.0983055,77.22620606422424,drone_1,,hover,,,,,,,,,,-0.343,-0.806,0.357,1.279,-0.499,0.323,0.0,0.0,0.0,125,125,125,125,7.582
1782572011.3448482,77.47274875640869,drone_1,,hover,,,,,,,,,,-0.168,-0.625,0.645,1.802,-0.404,0.344,0.0,0.0,0.0,125,125,125,125,7.588
1782572011.6102989,77.73819947242737,drone_1,,hover,,,,,,,,,,-0.009,-0.351,0.707,0.239,-0.272,-0.113,0.0,0.0,0.0,125,125,125,125,7.585
1782572011.8958151,78.02371573448181,drone_1,,hover,,,,,,,,,,0.011,-0.407,0.708,-0.353,-0.287,-0.28,0.0,0.0,0.0,125,125,125,125,7.594
1782572012.1693685,78.29726910591125,drone_1,,hover,,,,,,,,,,0.132,-0.362,0.901,0.747,0.094,0.199,0.0,0.0,0.0,125,125,125,125,7.591
1782572012.458192,78.586092710495,drone_1,,hover,,,,,,,,,,0.123,-0.283,1.087,0.057,0.211,-0.657,0.0,0.0,0.0,125,125,125,125,7.603
1782572012.8340325,78.96193313598633,drone_1,,hover,,,,,,,,,,-0.137,-0.149,1.088,0.128,-0.008,-0.118,0.0,0.0,0.0,125,125,125,125,7.596
1782572013.2265725,79.35447311401367,drone_1,,hover,,,,,,,,,,0.002,-0.135,0.902,0.257,-0.357,0.227,0.0,0.0,0.0,125,125,125,125,7.601
1782572013.6089237,79.73682427406311,drone_1,,hover,,,,,,,,,,-0.071,-0.053,1.017,0.011,0.012,-0.021,0.0,0.0,0.0,125,125,125,125,7.612
1782572014.181199,80.30909967422485,drone_1,,hover,,,,,,,,,,0.018,0.009,1.019,0.017,0.018,0.042,0.0,0.0,0.0,125,125,125,125,7.617
1782572014.820757,80.9486575126648,drone_1,,hover,,,,,,,,,,0.01,0.015,1.019,0.013,0.018,-0.007,0.0,0.0,0.0,125,125,125,125,7.617
1782572015.5978122,81.72571277618408,drone_1,,hover,,,,,,,,,,0.014,0.016,1.017,0.014,0.018,-0.004,0.0,0.0,0.0,125,125,125,125,7.619
1782572016.2061617,82.33406233787537,drone_1,,hover,,,,,,,,,,0.011,0.015,1.017,0.014,0.018,0.0,0.0,0.0,0.0,125,125,125,125,7.619
1782572016.4764311,82.60433173179626,drone_1,,hover,,,,,,,,,,0.011,0.016,1.017,0.013,0.017,0.001,0.0,0.0,0.0,125,125,125,125,7.63
1782572016.7310688,82.85896944999695,drone_1,,hover,,,,,,,,,,0.01,0.016,1.018,0.014,0.018,0.0,0.0,0.0,0.0,125,125,125,125,7.625
1782572016.9929886,83.12088918685913,drone_1,,hover,,,,,,,,,,0.011,0.016,1.016,0.015,0.017,0.0,0.0,0.0,0.0,125,125,125,125,7.623
